,Value,Layer,Method
315,6.568181991577148,conv4,HRank
316,7.278409004211426,conv4,HRank
317,6.988636493682861,conv4,HRank
318,6.9375,conv4,HRank
319,5.920454502105713,conv4,HRank
320,7.1022725105285645,conv4,HRank
321,6.931818008422852,conv4,HRank
322,6.806818008422852,conv4,HRank
323,6.909090995788574,conv4,HRank
324,6.607954502105713,conv4,HRank
325,6.767045497894287,conv4,HRank
326,6.5,conv4,HRank
327,7.4772725105285645,conv4,HRank
328,6.965909004211426,conv4,HRank
329,7.221590995788574,conv4,HRank
330,6.579545497894287,conv4,HRank
331,6.005681991577148,conv4,HRank
332,6.642045497894287,conv4,HRank
333,7.034090995788574,conv4,HRank
334,7.6477274894714355,conv4,HRank
335,7.255681991577148,conv4,HRank
336,7.4147725105285645,conv4,HRank
337,7.181818008422852,conv4,HRank
338,6.8352274894714355,conv4,HRank
339,7.125,conv4,HRank
340,6.6022725105285645,conv4,HRank
341,6.982954502105713,conv4,HRank
342,7.363636493682861,conv4,HRank
343,6.761363506317139,conv4,HRank
344,7.301136493682861,conv4,HRank
345,6.2897725105285645,conv4,HRank
346,7.107954502105713,conv4,HRank
347,7.4602274894714355,conv4,HRank
348,7.2727274894714355,conv4,HRank
349,6.9147725105285645,conv4,HRank
350,7.232954502105713,conv4,HRank
351,7.403409004211426,conv4,HRank
352,6.295454502105713,conv4,HRank
353,7.1647725105285645,conv4,HRank
354,6.8977274894714355,conv4,HRank
355,6.534090995788574,conv4,HRank
356,7.3977274894714355,conv4,HRank
357,7.0227274894714355,conv4,HRank
358,6.920454502105713,conv4,HRank
359,6.8352274894714355,conv4,HRank
360,6.613636493682861,conv4,HRank
361,6.551136493682861,conv4,HRank
362,7.1477274894714355,conv4,HRank
363,7.681818008422852,conv4,HRank
364,7.534090995788574,conv4,HRank
365,6.278409004211426,conv4,HRank
366,7.630681991577148,conv4,HRank
367,6.818181991577148,conv4,HRank
368,6.9772725105285645,conv4,HRank
369,6.607954502105713,conv4,HRank
370,7.028409004211426,conv4,HRank
371,6.8125,conv4,HRank
372,6.9772725105285645,conv4,HRank
373,6.920454502105713,conv4,HRank
374,7.431818008422852,conv4,HRank
375,7.329545497894287,conv4,HRank
376,7.5227274894714355,conv4,HRank
377,7.613636493682861,conv4,HRank
378,7.318181991577148,conv4,HRank
379,7.375,conv4,HRank
380,6.965909004211426,conv4,HRank
381,7.130681991577148,conv4,HRank
